Phoneme,Class,VowelHeight,VowelAnteriority,VowelRounding,VowelClass,Obstruent,Voicing,Dur_M,Dur_W,F0_M,F0_W,F1_M,F1_W,F2_M,F2_W,VOT_M,VOT_F,COG
AA,vowel,open,back,rounded,vowel,vowel,NA,267,323,123,215,768,936,1333,1551,,,
AE,vowel,open,front,unrounded,vowel,vowel,NA,278,332,123,215,558,669,1952,2349,,,
AH,vowel,open-mid,back,unrounded,vowel,vowel,NA,188,226,133,218,623,753,1200,1426,,,
AO,vowel,open-mid,back,rounded,vowel,vowel,NA,283,353,121,210,652,781,997,1136,,,
AW,vowel,NA,NA,NA,diphthong,vowel,NA,,,,,,,,,,,
AY,vowel,NA,NA,unrounded,diphthong,vowel,NA,,,,,,,,,,,
B,stop,NA,NA,NA,NA,obstruent,voiced,,,,,,,,,15.5,14.9,2833
CH,affricate,NA,NA,NA,NA,obstruent,voiceless,,,,,,,,,,,
D,stop,NA,NA,NA,NA,obstruent,voiced,,,,,,,,,19.5,20.6,4664
DH,fricative,NA,NA,NA,NA,obstruent,voiced,,,,,,,,,,,
EH,vowel,open-mid,front,unrounded,vowel,vowel,NA,189,254,127,214,580,731,1799,2058,,,
ER,vowel,mid,central,unrounded,vowel,vowel,NA,263,321,130,217,474,523,1379,1588,,,
EY,vowel,NA,NA,unrounded,diphthong,vowel,NA,,,,,,,,,,,
F,fricative,NA,NA,NA,NA,obstruent,voiceless,,,,,,,,,,,
G,stop,NA,NA,NA,NA,obstruent,voiced,,,,,,,,,30,30.7,3521
HH,fricative,NA,NA,NA,NA,obstruent,voiceless,,,,,,,,,,,
IH,vowel,close,front,unrounded,vowel,vowel,NA,192,237,135,224,427,483,2034,2365,,,
IY,vowel,near-close,front,unrounded,vowel,vowel,NA,243,306,138,227,342,437,2322,2761,,,
JH,affricate,NA,NA,NA,NA,obstruent,voiced,,,,,,,,,,,
K,stop,NA,NA,NA,NA,obstruent,voiceless,,,,,,,,,73.4,75.1,3450
L,liquid,NA,NA,NA,NA,sonorant,NA,,,,,,,,,,,
M,nasal,NA,NA,NA,NA,sonorant,NA,,,,,,,,,,,
N,nasal,NA,NA,NA,NA,sonorant,NA,,,,,,,,,,,
NG,nasal,NA,NA,NA,NA,sonorant,NA,,,,,,,,,,,
OW,vowel,NA,NA,rounded,diphthong,vowel,NA,,,,,,,,,,,
OY,vowel,NA,NA,NA,diphthong,vowel,NA,,,,,,,,,,,
P,stop,NA,NA,NA,NA,obstruent,voiceless,,,,,,,,,55.6,58.8,3318
R,liquid,NA,NA,NA,NA,sonorant,NA,,,,,,,,,,,
S,fricative,NA,NA,NA,NA,obstruent,voiceless,,,,,,,,,,,
SH,fricative,NA,NA,NA,NA,obstruent,voiceless,,,,,,,,,,,
T,stop,NA,NA,NA,NA,obstruent,voiceless,,,,,,,,,69.2,78.5,4967
TH,fricative,NA,NA,NA,NA,obstruent,voiceless,,,,,,,,,,,
UH,vowel,close,back,rounded,vowel,vowel,NA,192,249,133,230,469,519,1122,1225,,,
UW,vowel,near-close,back,rounded,vowel,vowel,NA,237,303,143,235,378,459,997,1105,,,
V,fricative,NA,NA,NA,NA,obstruent,voiced,,,,,,,,,,,
W,approximant,NA,NA,NA,NA,vowel,NA,,,,,,,,,,,
Y,approximant,NA,NA,NA,NA,vowel,NA,,,,,,,,,,,
Z,fricative,NA,NA,NA,NA,obstruent,voiced,,,,,,,,,,,
ZH,fricative,NA,NA,NA,NA,obstruent,voiced,,,,,,,,,,,
