SeedWord,Word,Stem,Multiword,FirstDefinition,AdjectiveYesNo,SizeYesNo,OtherEntries,Relevant,Comment,OED_root_entry,OED_history,OED_history_simplified,RelatedTo,FirstAttestationItself,FirstAttestationRoot,Period
big,a whale of a,NA,yes,"as in big, as in large-scale",yes,yes,as in,least_relevant,all separated meanings relate to size,,,,,,,
big,ample,NA,no,"more than necessary, sufficient",yes,no,no,least_relevant,,,,,,,,
big,awash,NA,no,wet,yes,no,yes,least_relevant,"other entry: ""big""",,,,,,,
big,big,big,no,"large, great",yes,yes,no,most_relevant,"one of the seed words; picked ""other entries"" = no here because of its seed word status (should be included nonetheless)",big,origin unknown,unknown,none,c1300,c1300,Middle English
big,brimming,NA,no,overflowing,yes,no,no,least_relevant,,,,,,,,
big,bulky,bulk,no,huge,yes,yes,no,least_relevant,,bulk,"Of complicated etymology. The coincidence in meaning with Old Norse *bulki , Icelandic búlki ‘heap, cargo of a ship’ (Vigfusson), Danish bulk lump, clod (compare modern Icelandic búlka-st to be bulky), suggests that the word, though not recorded before 15th cent., may (in the senses ‘heap’, ‘cargo’) be of Scandinavian origin. Within a few years of its first appearance, bulk occurs in the senses ‘belly, trunk of the body’, due apparently to confusion with bouk n., which word it has entirely superseded in literary English. (Compare however, the Flemish bulck ‘thorax’ in Kilian.) The sense of ‘size’ (branch III) seems to have been evolved chiefly from the notion of ‘body’, though it may be partly due to that of ‘heap’ or ‘cargo’. The form boak, used by N. Fairfax 1674 indiscriminately with bulk in the sense of ‘magnitude’, is apparently < Middle English bolk.",probably Scandinavian,none,c1440,c1440,Middle English
big,bull,NA,no,nonsense,no,no,no,least_relevant,,,,,,,,
big,burly,NA,no,husky,yes,no,no,least_relevant,,,,,,,,
big,capacious,NA,no,"ample, extensive",yes,no,no,least_relevant,,,,,,,,
big,chock-full,NA,no,filled to capacity,yes,no,no,least_relevant,,,,,,,,
big,colossal,colossal,no,very large,yes,yes,no,most_relevant,,colossal,French,French,none,1664,1664,Modern English
big,commodious,NA,no,"ample, spacious",yes,no,no,least_relevant,,,,,,,,
big,considerable,consider,no,"abundant, large",yes,yes,yes,most_relevant,"other entry: ""important""",considerable,medieval Latin,medieval Latin,none,c1449,c1449,Middle English
big,copious,NA,no,abundant,yes,no,no,least_relevant,,,,,,,,
big,crowded,NA,no,"busy, congested",yes,no,no,least_relevant,,,,,,,,
big,enormous,enorm,no,very large,yes,yes,no,most_relevant,,enormous,from Latin,Latin,none,a1533,a1533,Middle English
big,extensive,NA,no,"far-reaching, thorough",yes,no,no,least_relevant,,,,,,,,
big,fat,NA,no,overweight,yes,no,yes,most_relevant,"other entries: ""containing an oily substance""; ""productive, rich""; ""overweight, adipose tissue"" (noun)",,,,,,,
big,full,NA,no,"brimming, filled",yes,no,yes,most_relevant,"other entries: ""thorough""; ""deep in sound""; ""satiated in hunger""",,,,,,,
big,gigantic,gigant,no,very large,yes,yes,no,most_relevant,,gigantic,Latin < Greek,Greek,gigantic;giant,1612,1612,Modern English
big,heavy-duty,NA,no,"as in strong, as in big, as in large-scale, as in puissant",yes,no,as in,least_relevant,"first meaning listed is ""strong""",,,,,,,
big,heavyweight,NA,no,heavy,yes,no,yes,least_relevant,"other entries: ""big-league""; ""dignitary"" (noun)",,,,,,,
